periods,u_rate,cpi,ff_rate,3_m_tbill,1_y_tbond,dollar_pound_erate,gdp_jp,t_from_1960,recession,GS10,TB3MS,RSPREAD
1969:01:00,3.400000095,35.86666489,6.789999962,6.019999981,6.340000153,239.167099,57632,36,0,6.176666667,6.093333333,0.083333333
1969:02:00,3.433333397,36.43333435,8.899999619,6.440000057,7.039999962,238.9499969,60612.39844,37,0,6.353333333,6.196666667,0.156666667
1969:03:00,3.566666603,36.93333435,9.149999619,7.090000153,7.820000172,238.3999939,63086.89844,38,0,6.856666667,7.023333333,-0.166666667
1969:04:00,3.566666603,37.5,8.970000267,7.820000172,8.170000076,239.7299957,66786,39,0,7.296666667,7.353333333,-0.056666667
1970:01:00,4.166666508,38.09999847,7.760000229,6.630000114,6.96999979,240.5800018,69527,40,1,7.366666667,7.21,0.156666667
1970:02:00,4.766666889,38.63333511,7.599999905,6.679999828,7.550000191,239.7700043,71738,41,1,7.713333333,6.676666667,1.036666667
1970:03:00,5.166666508,39.03333282,6.289999962,6.119999886,6.730000019,238.5299988,74777,42,1,7.46,6.326666667,1.133333333
1970:04:00,5.833333492,39.59999847,4.900000095,4.869999886,5,239.0599976,76524,43,1,6.853333333,5.353333333,1.5
1971:01:00,5.933333397,39.93333435,3.710000038,3.380000114,3.690000057,241.8699951,77842,44,0,6.016666667,3.84,2.176666667
1971:02:00,5.900000095,40.29999924,4.909999847,4.75,5.639999866,241.8699951,79555,45,0,6.246666667,4.25,1.996666667
1971:03:00,6.033333302,40.70000076,5.550000191,4.690000057,5.409999847,246.9400024,81698,46,0,6.483333333,5.01,1.473333333
1971:04:00,5.933333397,41,4.139999866,4.010000229,4.599999905,252.6600037,83062,47,0,5.89,4.23,1.66
1972:01:00,5.766666889,41.33333206,3.829999924,3.730000019,4.670000076,261.8099976,87117,48,0,6.033333333,3.436666667,2.596666667
1972:02:00,5.699999809,41.59999847,4.460000038,3.910000086,4.929999828,256.9100037,89731,49,0,6.143333333,3.77,2.373333333
1972:03:00,5.566666603,41.93333435,4.869999886,4.659999847,5.519999981,244.1000061,93788,50,0,6.29,4.22,2.07
1972:04:00,5.366666794,42.36666489,5.329999924,5.070000172,5.519999981,234.4799957,97757,51,0,6.373333333,4.863333333,1.51
1973:01:00,4.933333397,43.03333282,7.090000153,6.090000153,6.849999905,247.2400055,104568,52,0,6.603333333,5.7,0.903333333
1973:02:00,4.933333397,43.93333435,8.489999771,7.190000057,7.309999943,257.6199951,109319,53,0,6.806666667,6.603333333,0.203333333
1973:03:00,4.800000191,44.79999924,10.77999973,8.289999962,8.31000042,241.8300018,113518,54,0,7.206666667,8.323333333,-1.116666667
1973:04:00,4.766666889,45.93333435,9.949999809,7.449999809,7.269999981,231.7400055,120420,55,0,6.753333333,7.5,-0.746666667
1974:01:00,5.133333206,47.29999924,9.350000381,7.960000038,7.760000229,234.0599976,123283,56,1,7.053333333,7.616666667,-0.563333333
1974:02:00,5.199999809,48.56666565,11.93000031,7.900000095,8.670000076,239.0200043,131736,57,1,7.543333333,8.153333333,-0.61
1974:03:00,5.633333206,49.93333435,11.34000015,8.06000042,8.869999886,231.6499939,137890,58,1,7.963333333,8.19,-0.226666667
1974:04:00,6.599999905,51.46666718,8.529999733,7.150000095,7.309999943,232.9400024,141613,59,1,7.67,7.36,0.31
1975:01:00,8.266666412,52.56666565,5.539999962,5.489999771,6.110000134,241.8000031,141887,60,1,7.54,5.75,1.79
1975:02:00,8.866666794,53.20000076,5.550000191,5.340000153,6.289999962,228.0299988,146444,61,0,8.05,5.393333333,2.656666667
1975:03:00,8.466666222,54.26666641,6.239999771,6.420000076,7.75,208.3500061,149751,62,0,8.296666667,6.33,1.966666667
1975:04:00,8.300000191,55.26666641,5.199999809,5.440000057,6.599999905,202.2100067,154088,63,0,8.063333333,5.626666667,2.436666667
1976:01:00,7.733333111,55.90000153,4.840000153,5,6.210000038,194.2799988,159302,64,0,7.753333333,4.916666667,2.836666667
1976:02:00,7.566666603,56.40000153,5.480000019,5.409999847,6.519999981,176.3999939,164546,65,0,7.773333333,5.156666667,2.616666667
1976:03:00,7.733333111,57.29999924,5.25,5.079999924,5.840000153,172.7200012,169524,66,0,7.73,5.15,2.58
1976:04:00,7.766666889,58.13333511,4.650000095,4.349999905,4.889999866,167.8399963,172022,67,0,7.19,4.673333333,2.516666667
1977:01:00,7.5,59.20000076,4.690000057,4.599999905,5.5,171.740799,179402,68,0,7.353333333,4.63,2.723333333
1977:02:00,7.133333206,60.23333359,5.389999866,5.019999981,5.800000191,171.9140015,183207,69,0,7.37,4.84,2.53
1977:03:00,6.900000095,61.06666565,6.139999866,5.809999943,6.53000021,174.3139038,187162,70,0,7.356666667,5.496666667,1.86
1977:04:00,6.666666508,61.96666718,6.559999943,6.070000172,6.960000038,185.4575043,191997,71,0,7.596666667,6.11,1.486666667
1978:01:00,6.333333492,63.03333282,6.789999962,6.289999962,7.309999943,190.5467072,197835,72,0,8.01,6.393333333,1.616666667
1978:02:00,6,64.46666718,7.599999905,6.730000019,8.090000153,183.7243958,201639,73,0,8.32,6.476666667,1.843333333
1978:03:00,6.033333302,65.96666718,8.449999809,7.849999905,8.640000343,195.9499969,206879,74,0,8.49,7.313333333,1.176666667
1978:04:00,5.900000095,67.5,10.02999973,9.079999924,10.30000019,198.6109009,210785,75,0,8.82,8.57,0.25
1979:01:00,5.866666794,69.19999695,10.09000015,9.479999542,10.25,203.7799988,215043,76,0,9.106666667,9.383333333,-0.276666667
1979:02:00,5.699999809,71.40000153,10.28999996,9.06000042,9.569999695,211.1900024,219875,77,0,9.113333333,9.376666667,-0.263333333
1979:03:00,5.866666794,73.69999695,11.43000031,10.26000023,10.84000015,219.6600037,223217,78,0,9.103333333,9.673333333,-0.57
1979:04:00,5.966666698,76.03333282,13.77999973,12.03999996,11.97999954,220.0700073,226526,79,0,10.44666667,11.84333333,-1.396666667
1980:01:00,6.300000191,79.03333282,17.19000053,15.19999981,15.81999969,220.4510956,231999.7969,80,0,11.98666667,13.35333333,-1.366666667
1980:02:00,7.333333492,81.69999695,9.470000267,7.070000172,8.159999847,233.5942993,236053,81,1,10.47666667,9.616666667,0.86
1980:03:00,7.666666508,83.23332977,10.86999989,10.27000046,11.52000046,240.1233063,243962.9063,82,1,10.95333333,9.153333333,1.8
1980:04:00,7.400000095,85.56666565,18.89999962,15.48999977,14.88000011,234.5937042,249946,83,0,12.42333333,13.61333333,-1.19
1981:01:00,7.433333397,87.93333435,14.69999981,13.35999966,13.71000004,223.1900024,254559.9063,84,0,12.96,14.39,-1.43
1981:02:00,7.400000095,89.76667023,19.10000038,14.72999954,14.85999966,197.3800049,255595.5938,85,0,13.75,14.90666667,-1.156666667
1981:03:00,7.400000095,92.26667023,15.86999989,14.69999981,16.52000046,181.4600067,261035.2031,86,0,14.84666667,15.05333333,-0.206666667
1981:04:00,8.233333588,93.76667023,12.36999989,10.85000038,12.85000038,190.332901,264012.1875,87,1,14.08666667,11.75,2.336666667
1982:01:00,8.833333015,94.59999847,14.68000031,12.68000031,13.94999981,180.5,267124.9063,88,1,14.29333333,12.81333333,1.48
1982:02:00,9.433333397,95.96666718,14.14999962,12.47000027,14.06999969,175.6300049,271720.5938,89,1,13.93,12.42,1.51
1982:03:00,9.899999619,97.6333313,10.31000042,7.920000076,10.85000038,171.1999969,273228.8125,90,1,13.11666667,9.316666667,3.8
1982:04:00,10.66666698,97.93333435,8.949999809,7.940000057,8.909999847,161.6000061,275198.5938,91,1,10.66666667,7.906666667,2.76
1983:01:00,10.36666679,98,8.770000458,8.350000381,9.039999962,149,278451.1875,92,0,10.56333333,8.106666667,2.456666667
1983:02:00,10.13333321,99.1333313,8.979999542,8.789999962,9.659999847,154.8000031,281202.3125,93,0,10.54333333,8.396666667,2.146666667
1983:03:00,9.366666794,100.0999985,9.449999809,9,10.15999985,149.8600006,285152.1875,94,0,11.62666667,9.14,2.486666667
1983:04:00,8.533333778,101.0999985,9.470000267,9,10.10999966,143.3800049,286365.6875,95,0,11.68666667,8.8,2.886666667
1984:01:00,7.866666794,102.5333328,9.909999847,9.520000458,10.59000015,145.5700073,292292.9063,96,0,11.94333333,9.17,2.773333333
1984:02:00,7.433333397,103.5,11.06000042,9.869999886,12.07999992,137.6999969,298527.8125,97,0,13.2,9.796666667,3.403333333
1984:03:00,7.433333397,104.4000015,11.30000019,10.36999989,11.57999992,125.6299973,303875.6875,98,0,12.86666667,10.32,2.546666667
1984:04:00,7.300000191,105.3000031,8.380000114,8.06000042,9.329999924,118.6100006,308001.5938,99,0,11.74333333,8.803333333,2.94
1985:01:00,7.233333111,106.2666702,8.579999924,8.520000458,9.859999657,112.5299988,316702.1875,100,0,11.58333333,8.183333333,3.4
1985:02:00,7.300000191,107.2333298,7.53000021,6.949999809,7.800000191,128.0800018,320064.1875,101,0,10.81333333,7.46,3.353333333
1985:03:00,7.199999809,107.9000015,7.920000076,7.099999905,8.069999695,136.4199982,324477.1875,102,0,10.33666667,7.106666667,3.23
1985:04:00,7.033333302,109,8.270000458,7.099999905,7.670000076,144.4700012,332086.5,103,0,9.76,7.166666667,2.593333333
1986:01:00,7.033333302,109.5666656,7.480000019,6.559999943,7.03000021,146.7400055,332099,104,0,8.556666667,6.896666667,1.66
1986:02:00,7.166666508,109.0333328,6.920000076,6.210000038,6.730000019,150.8500061,337871.4063,105,0,7.603333333,6.14,1.463333333
1986:03:00,6.966666698,109.6999969,5.889999866,5.210000038,5.769999981,146.9799957,341120.6875,106,0,7.306666667,5.523333333,1.783333333
1986:04:00,6.833333492,110.4666672,6.909999847,5.53000021,5.869999886,143.9299927,343613.9063,107,0,7.263333333,5.353333333,1.91
1987:01:00,6.599999905,111.8000031,6.130000114,5.590000153,6.03000021,159.2299957,344760.4063,108,0,7.193333333,5.536666667,1.656666667
1987:02:00,6.266666889,113.0666656,6.730000019,5.670000076,6.800000191,162.8800049,346317.4063,109,0,8.343333333,5.656666667,2.686666667
1987:03:00,6,114.2666702,7.21999979,6.400000095,7.670000076,164.4600067,355160.3125,110,0,8.876666667,6.043333333,2.833333333
1987:04:00,5.833333492,115.3333359,6.769999981,5.769999981,7.170000076,182.8800049,363021.3125,111,0,9.123333333,5.863333333,3.26
1988:01:00,5.699999809,116.2333298,6.579999924,5.699999809,6.710000038,183.3000031,371485.5938,112,0,8.416666667,5.723333333,2.693333333
1988:02:00,5.466666698,117.5666656,7.510000229,6.460000038,7.489999771,177.6799927,373538.8125,113,0,8.91,6.21,2.7
1988:03:00,5.466666698,119,8.18999958,7.239999771,8.090000153,168.3999939,382391.5,114,0,9.1,7.01,2.09
1988:04:00,5.333333492,120.3000031,8.760000229,8.069999695,8.989999771,182.5800018,389289.1875,115,0,8.956666667,7.726666667,1.23
1989:01:00,5.199999809,121.6666641,9.850000381,8.819999695,9.569999695,171.3399963,400800,116,0,9.206666667,8.54,0.666666667
1989:02:00,5.233333111,123.6333313,9.529999733,8.149999619,8.43999958,155.3000031,400100.6875,117,0,8.773333333,8.41,0.363333333
1989:03:00,5.233333111,124.5999985,9.020000458,7.75,8.220000267,157.1499939,410036.4063,118,0,8.106666667,7.843333333,0.263333333
1989:04:00,5.366666794,125.8666687,8.449999809,7.630000114,7.71999979,159.6499939,422579.0938,119,0,7.906666667,7.653333333,0.253333333
1990:01:00,5.300000191,128.0333405,8.279999733,7.900000095,8.350000381,162.4499969,424834.1875,120,0,8.423333333,7.76,0.663333333
1990:02:00,5.333333492,129.3000031,8.289999962,7.730000019,8.100000381,171.0299988,439094.6875,121,0,8.676666667,7.746666667,0.93
1990:03:00,5.699999809,131.5333405,8.199999809,7.360000134,7.760000229,187.9400024,446521.1875,122,0,8.703333333,7.476666667,1.226666667
1990:04:00,6.133333206,133.7666626,7.309999943,6.739999771,7.050000191,192.1900024,450219.8125,123,1,8.396666667,6.99,1.406666667
1991:01:00,6.599999905,134.7666626,6.119999886,5.909999847,6.400000095,182.1399994,462847.1875,124,1,8.016666667,6.023333333,1.993333333
1991:02:00,6.833333492,135.5666656,5.900000095,5.570000172,6.360000134,164.9700012,465150.0938,125,0,8.13,5.56,2.57
1991:03:00,6.866666794,136.6000061,5.449999809,5.21999979,5.570000172,172.6499939,469224.0938,126,0,7.94,5.376666667,2.563333333
1991:04:00,7.099999905,137.7333374,4.429999828,4.070000172,4.380000114,182.7200012,475944.4063,127,0,7.346666667,4.54,2.806666667
1992:01:00,7.366666794,138.6666718,3.980000019,4.039999962,4.630000114,172.3800049,477201.0938,128,0,7.303333333,3.893333333,3.41
1992:02:00,7.599999905,139.7333374,3.75999999,3.660000086,4.170000076,185.5099945,481668.4063,129,0,7.376666667,3.68,3.696666667
1992:03:00,7.633333206,140.8000031,3.220000029,2.910000086,3.180000067,184.6499939,482419.6875,130,0,6.616666667,3.083333333,3.533333333
1992:04:00,7.366666794,142.0333405,2.920000076,3.220000029,3.710000038,155.1000061,480767.8125,131,0,6.743333333,3.07,3.673333333
1993:01:00,7.133333206,143.0666656,3.069999933,2.950000048,3.329999924,146.1699982,489538.8125,132,0,6.28,2.96,3.32
1993:02:00,7.066666603,144.1000061,3.039999962,3.069999933,3.539999962,150.8200073,483332.5,133,0,5.99,2.966666667,3.023333333
1993:03:00,6.800000191,144.7666626,3.089999914,2.950000048,3.359999895,152.4799957,482328.0938,134,0,5.616666667,3.003333333,2.613333333
1993:04:00,6.633333206,145.9666595,2.960000038,3.059999943,3.609999895,149.1300049,481369.6875,135,0,5.606666667,3.06,2.546666667
1994:01:00,6.566666603,146.6999969,3.339999914,3.5,4.320000172,149.1900024,486649,136,0,6.066666667,3.243333333,2.823333333
1994:02:00,6.199999809,147.5333405,4.25,4.139999866,5.269999981,152.6199951,489262,137,0,7.083333333,3.986666667,3.096666667
1994:03:00,6,148.8999939,4.730000019,4.619999886,5.760000229,156.6100006,492229,138,0,7.333333333,4.476666667,2.856666667
1994:04:00,5.633333206,149.7666626,5.449999809,5.599999905,7.139999866,155.8699951,491944,139,0,7.836666667,5.28,2.556666667
1995:01:00,5.466666698,150.8666687,5.980000019,5.730000019,6.429999828,160.0200043,492390,140,0,7.483333333,5.736666667,1.746666667
1995:02:00,5.666666508,152.1000061,6,5.46999979,5.639999866,159.4799957,493974,141,0,6.62,5.596666667,1.023333333
1995:03:00,5.666666508,152.8666687,5.800000191,5.28000021,5.619999886,155.8999939,499014,142,0,6.323333333,5.366666667,0.956666667
1995:04:00,5.566666603,153.6999969,5.599999905,5.139999866,5.309999943,154.0500031,501389,143,0,5.893333333,5.26,0.633333333
1996:01:00,5.533333302,155.0666656,5.309999943,4.960000038,5.340000153,152.7100067,503903,144,0,5.91,4.93,0.98
1996:02:00,5.5,156.3999939,5.269999981,5.090000153,5.809999943,154.1600037,509525,145,0,6.72,5.02,1.7
1996:03:00,5.266666889,157.3000031,5.300000191,5.090000153,5.829999924,155.9299927,510978,146,0,6.78,5.096666667,1.683333333
1996:04:00,5.333333492,158.6666718,5.289999962,4.909999847,5.46999979,166.3899994,517045,147,0,6.343333333,4.976666667,1.366666667
1997:01:00,5.233333111,159.6333313,5.389999866,5.139999866,5.800000191,160.9600067,520537,148,0,6.563333333,5.06,1.503333333
1997:02:00,5,160,5.559999943,4.929999828,5.690000057,164.4900055,520930,149,0,6.696666667,5.046666667,1.65
1997:03:00,4.866666794,160.8000031,5.539999962,4.949999809,5.519999981,160.1300049,519672,150,0,6.243333333,5.046666667,1.196666667
1997:04:00,4.666666508,161.6666718,5.5,5.159999847,5.53000021,165.9700012,523638,151,0,5.906666667,5.09,0.816666667
1998:01:00,4.633333206,162,5.489999771,5.03000021,5.389999866,166.1900024,517862,152,0,5.586666667,5.053333333,0.533333333
1998:02:00,4.400000095,162.5333405,5.559999943,4.980000019,5.409999847,165.0399933,511371,153,0,5.596666667,4.976666667,0.62
1998:03:00,4.533333302,163.3666687,5.510000229,4.610000134,4.710000038,168.2299957,513628,154,0,5.203333333,4.823333333,0.38
1998:04:00,4.433333397,164.1333313,4.679999828,4.389999866,4.519999981,167.0800018,515037,155,0,4.67,4.253333333,0.416666667
1999:01:00,4.300000191,164.7333374,4.809999943,4.440000057,4.78000021,162.1300049,508639,156,0,4.983333333,4.406666667,0.576666667
1999:02:00,4.266666889,165.9666595,4.760000229,4.570000172,5.099999905,159.5,509767,157,0,5.54,4.453333333,1.086666667
1999:03:00,4.233333111,167.1999969,5.21999979,4.679999828,5.25,162.4700012,506001,158,0,5.883333333,4.65,1.233333333
1999:04:00,4.066666603,168.4333344,5.300000191,5.199999809,5.840000153,161.3200073,506428,159,0,6.14,5.043333333,1.096666667
2000:01:00,4.033333302,170.1000061,5.849999905,5.690000057,6.21999979,157.9900055,509212,160,0,6.48,5.52,0.96
2000:02:00,3.933333397,171.4333344,6.53000021,5.690000057,6.170000076,150.9244995,510965,161,0,6.176666667,5.713333333,0.463333333
2000:03:00,4,173,6.519999981,6,6.130000114,143.3549957,511652,162,0,5.893333333,6.016666667,-0.123333333
2000:04:00,3.900000095,174.2333374,6.400000095,5.769999981,5.599999905,146.2915039,514879,163,0,5.566666667,6.016666667,-0.45
2001:01:00,4.233333111,175.8999939,5.309999943,4.420000076,4.300000191,144.4459076,516339,164,0,5.05,4.816666667,0.233333333
2001:02:00,4.400000095,177.2666626,3.970000029,3.49000001,3.579999924,140.201004,507542,165,1,5.27,3.66,1.61
2001:03:00,4.833333492,177.6666718,3.069999933,2.640000105,2.819999933,146.3811035,502521,166,1,4.98,3.17,1.81
2001:04:00,5.533333302,177.4333344,1.820000052,1.690000057,2.220000029,144.1264954,497700,167,1,4.77,1.906666667,2.863333333
2002:01:00,5.699999809,178.0666656,1.730000019,1.789999962,2.569999933,142.3023987,497409,168,0,5.076666667,1.72,3.356666667
2002:02:00,5.833333492,179.5,1.75,1.700000048,2.200000048,148.3684998,497511,169,0,5.1,1.713333333,3.386666667
2002:03:00,5.733333111,180.4333344,1.75,1.629999995,1.720000029,155.6300049,500751,170,0,4.26,1.643333333,2.616666667
2002:04:00,5.866666794,181.3666687,1.24000001,1.190000057,1.450000048,158.6300049,498534,171,0,4.006666667,1.333333333,2.673333333
2003:01:00,5.833333492,183.2333374,1.25,1.129999995,1.24000001,158.25,494468,172,0,3.92,1.156666667,2.763333333
2003:02:00,6.133333206,183.3999939,1.220000029,0.920000017,1.00999999,166.0876007,497335,173,0,3.62,1.04,2.58
2003:03:00,6.133333206,184.3999939,1.00999999,0.939999998,1.24000001,161.5500031,498889,174,0,4.233333333,0.93,3.303333333
2003:04:00,5.866666794,184.8000031,0.980000019,0.899999976,1.309999943,175.1600037,502022,175,0,4.286666667,0.916666667,3.37
2004:01:00,5.666666508,186.5666656,1,0.939999998,1.190000057,182.6100006,507510,176,0,4.02,0.916666667,3.103333333
2004:02:00,5.566666603,188.6000061,1.029999971,1.269999981,2.119999886,182.7908936,505843,177,0,4.6,1.076666667,3.523333333
2004:03:00,5.433333397,189.3666687,1.610000014,1.649999976,2.119999886,179.3699951,504948.9063,178,0,4.303333333,1.486666667,2.816666667
2004:04:00,5.433333397,191.0333405,2.160000086,2.190000057,2.670000076,192.921402,505073.6875,179,0,4.173333333,2.006666667,2.166666667
2005:01:00,5.266666889,192.1666718,2.630000114,2.74000001,3.299999952,190.4299927,508505.5,180,0,4.296666667,2.536666667,1.76
